Year,Month,Day,Hour,Minute,Seconds,Subject,Experiment,Trial,Distractor_num,Distractor_size,Setup_time(s),Inspection_time(s),Search_time(s),Input_time(s),Accuracy
2019,5,24,11,21,52.251,1,2,1,8,0.5,1.3596,1.1705,10.047,2.7371,1
2019,5,24,11,22,15.613,1,2,2,4,1.25,1.3023,1.197,9.7272,2.8992,1
2019,5,24,11,23,0.862,1,2,3,8,1.25,1.8617,2.7751,29.852,2.7791,1
2019,5,24,11,23,22.625,1,2,4,8,1.5,1.5572,2.0367,7.9147,2.6234,1
2019,5,24,11,23,52.991,1,2,5,6,1.75,1.7688,1.1115,17.219,2.3049,1
2019,5,24,11,24,22.667,1,2,6,8,0.75,2.209,1.1676,14.699,3.0943,1
2019,5,24,11,24,55.798,1,2,7,6,1.25,1.4379,1.1199,19.669,2.8648,1
2019,5,24,11,25,21.041,1,2,8,6,1.5,3.6743,1.5728,9.5801,2.4106,1
2019,5,24,11,25,45.612,1,2,9,4,0.75,1.3151,2.2323,9.5078,3.1911,1
2019,5,24,11,26,7.168,1,2,10,6,0.25,3.0477,1.1509,6.2207,3.3144,1
2019,5,24,11,26,29.168,1,2,11,8,0.25,1.3496,2.7369,7.1417,3.3574,1
2019,5,24,11,27,11.595,1,2,12,6,0.75,2.1114,1.391,25.664,2.7724,1
2019,5,24,11,27,31.851,1,2,13,6,0.5,1.2542,1.3454,4.9312,3.3939,1
2019,5,24,11,27,49.087,1,2,14,4,0.25,2.2037,1.2963,4.496,2.2527,1
2019,5,24,11,28,17.101,1,2,15,8,1.75,1.8431,1.8554,9.4952,4.0624,1
2019,5,24,11,28,45.588,1,2,16,4,1.5,1.4192,3.1329,13.269,2.5711,1
2019,5,24,11,29,8.597,1,2,17,4,1.75,1.1396,1.9012,8.1927,3.4837,1
2019,5,24,11,29,32.786,1,2,18,4,0.5,1.6861,1.3038,11.44,2.4647,1
2019,5,24,12,24,22.727,2,2,1,4,0.25,4.8219,2.5714,10.016,5.7139,1
2019,5,24,12,25,2.628,2,2,2,8,0.5,3.5863,1.2969,21.047,3.2088,1
2019,5,24,12,26,12.383,2,2,3,8,0.75,2.5516,2.4615,52.015,2.1932,1
2019,5,24,12,27,2.95,2,2,4,4,1.75,2.377,2.062,14.131,4.5629,1
2019,5,24,12,27,31.986,2,2,5,8,1.75,1.4977,1.5576,9.6168,4.9041,1
2019,5,24,12,27,59.255,2,2,6,6,0.5,2.2411,1.319,12.534,2.5188,1
2019,5,24,12,29,3.071,2,2,7,8,1.25,2.931,1.4346,47.51,1.9524,1
2019,5,24,12,30,11.318,2,2,8,4,1.25,2.0948,1.3987,49.24,2.7997,1
2019,5,24,12,30,43.639,2,2,9,4,0.5,3.0807,1.3486,11.459,2.8478,1
2019,5,24,12,31,25.893,2,2,10,6,0.75,1.3972,1.8179,25.4,2.3539,1
2019,5,24,12,31,50.517,2,2,11,8,0.25,2.3358,1.3029,8.6323,2.2024,1
2019,5,24,12,32,17.828,2,2,12,4,1.5,1.8929,1.4012,11.56,2.4102,1
2019,5,24,12,33,20.427,2,2,13,6,1.25,2.9739,1.2941,44.987,1.8193,1
2019,5,24,12,33,46.256,2,2,14,6,0.25,2.9887,1.327,9.7422,1.5715,1
2019,5,24,12,34,24.658,2,2,15,8,1.5,1.7655,1.1737,22.319,2.0599,1
2019,5,24,12,34,55.048,2,2,16,6,1.5,2.0959,2.4212,11.094,2.5954,1
2019,5,24,12,35,19.858,2,2,17,6,1.75,2.9582,1.9688,8.0303,2.7722,1
2019,5,24,12,36,4.953,2,2,18,4,0.75,1.8457,2.0668,29.717,2.8668,1
2019,5,29,12,26,9.75,3,2,1,6,0.75,1.6201,1.2744,4.106,3.0566,1
2019,5,29,12,26,44.969,3,2,2,4,0.5,1.9352,1.5255,17.334,3.281,1
2019,5,29,12,27,3.428,3,2,3,4,0.25,1.2665,1.357,6.5958,2.145,1
